SR,ITEM_CODE,PARENT_ID,DESIGN_CODE,CATEGORY,SUB_CATEGORY,,DIAMOND_TYPE,SHAPE,COLOR,CLARITY,SETTING_TYPE,PIECES,SIZE_MIN,SIZE_MAX,TOTAL_WGT,,METAL_TYPE,METAL_STAMP,APPX_WEIGHT,,NATURAL_PRICE,NATURAL_OFFER_PRICE,LAB_PRICE,LAB_OFFER_PRICE,VARIANT_TAXABLE,,Rings_SIZE,GENDER,IS_ENGRAVING,SHIPMENT_DAYS,MATCHING_ITEMCODE,,IMG1,IMG2,IMG3,IMG4,IMG5,VIDEO,,TITLE,LONG_DESC,SHORT_DESC,COLLECTIONS,OCCASIONS,TAGS,PUBLISHED,SLUG
345,RHRG52,RHWG52,RH_RD_101,Rings,Engagement Rings,,Center,Round,,,Halo,,0.5,0.9,,,Rose Gold,14K,3.55,,847,,540,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG52/RHRG52-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG52/RHRG52-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG52/RHRG52-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG52/RHRG52-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG52/RHRG52-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG52/RHRG52-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,68,0.009,0.015,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,RHYG53,,RH_RD_102,Rings,Engagement Rings,,Center,Round,,,Halo,,0.4,1.2,,,Yellow Gold,14K,2.51,,682,,413,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG53/RHYG53-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG53/RHYG53-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG53/RHYG53-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG53/RHYG53-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG53/RHYG53-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG53/RHYG53-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,30,0.0175,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,RHWG53,RHWG53,RH_RD_102,Rings,Engagement Rings,,Center,Round,,,Halo,,0.4,1.2,,,White Gold,14K,2.51,,682,,413,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG53/RHWG53-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG53/RHWG53-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG53/RHWG53-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG53/RHWG53-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG53/RHWG53-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG53/RHWG53-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,30,0.0175,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,RHRG53,RHWG53,RH_RD_102,Rings,Engagement Rings,,Center,Round,,,Halo,,0.4,1.2,,,Rose Gold,14K,2.51,,682,,413,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG53/RHRG53-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG53/RHRG53-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG53/RHRG53-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG53/RHRG53-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG53/RHRG53-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG53/RHRG53-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,30,0.0175,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,RHYG54,,RH_RD_104,Rings,Engagement Rings,,Center,Round,,,Halo,,0.5,1,,,Yellow Gold,14K,4.79,,1210,,753,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG54/RHYG54-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG54/RHYG54-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG54/RHYG54-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG54/RHYG54-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG54/RHYG54-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG54/RHYG54-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,104,0.009,0.015,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
